ConversationId,Type,Participants,LastMessageAt
6a4537a3d9e915dc068279c4,direct,6a446c9cc565d1d2499d40bb|6a446e8dbc8a00e9cc2565b2,2026-06-12
6a4537a3d9e915dc068279de,direct,6a446c94c565d1d2499d4043|6a446e8cbc8a00e9cc25659a,2026-06-15
6a4537a3d9e915dc068279fe,direct,6a446c94c565d1d2499d403d|6a446e90bc8a00e9cc2565e2,2026-06-16
6a4537a3d9e915dc06827a1e,direct,6a446c94c565d1d2499d403d|6a446e8dbc8a00e9cc2565ac,2026-06-13
6a4537a3d9e915dc06827a36,direct,6a446ca0c565d1d2499d40fd|6a45322c8c08999a3d43af77,2026-06-12
6a4537a3d9e915dc06827a53,direct,6a446c96c565d1d2499d405b|6a45322c8c08999a3d43af77,2026-06-05
6a4537a3d9e915dc06827a5b,direct,6a446c96c565d1d2499d4061|6a45322c8c08999a3d43af77,2026-06-18
6a4537a3d9e915dc06827a7c,direct,6a446c8dc565d1d2499d3fe9|6a45322c8c08999a3d43af77,2026-06-11
6a4537a3d9e915dc06827a8e,direct,6a446c8ac565d1d2499d3fb9|6a45322c8c08999a3d43af77,2026-06-05
6a4537a3d9e915dc06827a9a,direct,6a446c9fc565d1d2499d40eb|6a45322c8c08999a3d43af77,2026-06-20
6a4537a3d9e915dc06827ac0,direct,6a446c9dc565d1d2499d40cd|6a45322c8c08999a3d43af77,2026-06-19
6a4537a3d9e915dc06827ae2,direct,6a446c98c565d1d2499d407f|6a45322c8c08999a3d43af77,2026-06-18
6a4537a3d9e915dc06827b07,direct,6a446c97c565d1d2499d4067|6a45322c8c08999a3d43af77,2026-06-19
6a4537a3d9e915dc06827b2c,direct,6a446c9cc565d1d2499d40c1|6a45322c8c08999a3d43af77,2026-06-05
6a4537a3d9e915dc06827b35,direct,6a446e8ebc8a00e9cc2565be|6a45322c8c08999a3d43af77,2026-06-18
6a4537a3d9e915dc06827b54,direct,6a446e8bbc8a00e9cc25658e|6a45322c8c08999a3d43af77,2026-06-09
6a4537a3d9e915dc06827b67,direct,6a446e8fbc8a00e9cc2565d6|6a45322c8c08999a3d43af77,2026-06-06
6a4537a3d9e915dc06827b70,direct,6a446e8cbc8a00e9cc2565a0|6a45322c8c08999a3d43af77,2026-06-13
6a4537a3d9e915dc06827b8f,direct,6a446e90bc8a00e9cc2565e2|6a45322c8c08999a3d43af77,2026-06-04
6a4537a3d9e915dc06827b99,direct,6a446e8fbc8a00e9cc2565d0|6a45322c8c08999a3d43af77,2026-06-13
6a4537a3d9e915dc06827bb1,direct,6a446e94bc8a00e9cc256618|6a45322c8c08999a3d43af77,2026-06-16
6a4537a3d9e915dc06827bd1,direct,6a446e8cbc8a00e9cc25659a|6a45322c8c08999a3d43af77,2026-06-12
6a4537a3d9e915dc06827bea,direct,6a446e8bbc8a00e9cc25658e|6a45322c8c08999a3d43af77,2026-06-09
6a4537a3d9e915dc06827c00,direct,6a446e8dbc8a00e9cc2565ac|6a45322c8c08999a3d43af77,2026-06-18
6a4537a3d9e915dc06827c1f,institution_broadcast,91 users,2026-06-18
